,frame,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h,var_x,var_y,covar,confidence
0,1,1,1338.0,380.0,1312,396,1347.780701754386,406.6578947368421,84,18,67.96183864800051,1338.0,372.0,1376.0,448.0,1326,366,106,98,4.0,4.0,0.0,0.9999998807907104
0,1,1,960.0,794.0,848,834,937.9841897233201,846.2081686429513,160,26,-66.7904509503003,962.0,782.0,903.0,928.0,884,776,88,192,4.0,4.0,0.0,0.9999998807907104
0,1,1,960.0,1390.0,946,1372,1005.4798534798534,1381.8315018315018,134,20,-10.187124128088165,946.0,1392.0,1080.0,1371.0,944,1360,178,46,4.0,4.0,0.0,0.9999951124191284
0,1,1,866.0,526.0,790,554,857.7038834951456,563.1553398058253,118,20,-78.8863967474259,866.0,514.0,847.0,630.0,828,506,48,184,4.0,4.0,0.0,0.9999263286590576
0,1,1,812.0,728.0,750,764,814.3122362869199,778.295358649789,148,26,87.92418499598291,812.0,714.0,819.0,862.0,798,706,40,204,4.0,4.0,0.0,0.9974121451377868
0,2,1,812.0,718.0,750,756,814.122332859175,770.850640113798,148,28,87.89012427776649,812.0,706.0,820.0,854.0,798,698,40,204,4.0,4.0,0.0,0.9982964396476746
0,2,1,956.0,1390.0,944,1372,1002.9228007181329,1381.83842010772,136,20,-9.77305375788496,944.0,1391.0,1078.0,1370.0,940,1360,180,46,4.0,4.0,0.0,0.9999966621398926
0,2,1,866.0,520.0,792,546,858.9535452322739,556.4987775061124,116,20,-78.94388971914397,867.0,508.0,848.0,622.0,832,500,44,186,4.0,4.0,0.0,0.9998214840888976
0,2,1,964.0,788.0,852,828,940.1605263157895,841.3842105263158,158,28,-66.85813016034729,964.0,778.0,906.0,924.0,884,770,90,192,4.0,4.0,0.0,0.9999998807907104
0,2,1,1338.0,376.0,1308,396,1346.7354260089687,403.0224215246637,84,14,72.1018897367936,1338.0,366.0,1366.0,444.0,1328,360,98,102,4.0,4.0,0.0,0.9999997615814208
0,3,1,1338.0,374.0,1306,392,1345.6485355648535,400.18410041841,88,14,73.64583959676588,1336.0,362.0,1364.0,446.0,1326,354,94,110,4.0,4.0,0.0,0.9999997615814208
0,3,1,962.0,784.0,862,820,943.0965909090909,834.0994318181819,146,28,-67.86085390229837,963.0,772.0,908.0,906.0,890,764,84,188,4.0,4.0,0.0,0.9999997615814208
0,3,1,954.0,1390.0,940,1372,999.1335740072202,1381.9963898916967,134,20,-9.744059512186583,940.0,1392.0,1072.0,1370.0,938,1358,178,48,4.0,4.0,0.0,0.999996304512024
0,3,1,866.0,516.0,796,540,859.8965517241379,549.3990147783251,112,20,-78.92269590360432,868.0,502.0,850.0,612.0,834,494,44,188,4.0,4.0,0.0,0.999933123588562
0,3,1,812.0,712.0,750,748,813.6347305389221,762.7185628742515,146,26,88.24237129369696,812.0,700.0,818.0,844.0,798,690,40,206,4.0,4.0,0.0,0.9959294199943542
0,4,1,812.0,708.0,750,742,813.7481698389458,756.9985358711566,146,28,88.3744072701152,813.0,694.0,819.0,840.0,798,684,40,204,4.0,4.0,0.0,0.9964812994003296
0,4,1,950.0,1390.0,938,1372,996.3686131386861,1381.8576642335765,134,20,-9.532414923781722,938.0,1391.0,1070.0,1370.0,934,1358,180,48,4.0,4.0,0.0,0.999996542930603
