,frame,id,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h
0,1,0.0,2,898.3297119140625,533.171630859375,774.0,478.0,898.3297101449275,533.1716485507246,290.0,102.0,-0.5084071839985533,774.0,531.0,1064.0,503.0,760.0,478.0,312.0,102.0
0,1,1.0,2,1389.948974609375,931.99658203125,1340.0,910.0,1389.9489795918366,931.9965986394557,104.0,44.0,21.38897893914721,1348.0,904.0,1444.0,944.0,1338.0,892.0,134.0,68.0
1,2,0.0,2,890.3837280273438,534.0921630859375,774.0,476.0,890.3837429111531,534.0921550094516,282.0,106.0,0.16514257295206453,774.0,548.0,1056.0,504.0,756.0,476.0,312.0,106.0
1,2,1.0,2,1385.48779296875,932.0376586914062,1336.0,910.0,1385.487758945386,932.0376647834275,104.0,44.0,29.19004976231041,1348.0,900.0,1436.0,946.8,1338.0,888.0,126.0,72.0
0,2,2.0,2,893.5364990234375,465.4892578125,856.0,448.0,893.5364806866952,465.48927038626607,72.0,34.0,-9.572193562582774,858.0,480.0,928.0,462.0,846.0,446.0,92.0,46.0
2,3,0.0,2,890.9168090820312,534.145751953125,768.0,478.0,890.9167842031029,534.1457451810061,282.0,102.0,0.28133852085209443,768.0,551.0,1050.0,505.0,752.0,478.0,312.0,102.0
2,3,1.0,2,1380.791015625,930.7910766601562,1330.0,908.0,1380.79107505071,930.79107505071,102.0,44.0,38.24343275684689,1346.0,896.0,1428.0,946.0,1342.0,882.0,112.0,78.0
1,3,2.0,2,896.2008666992188,465.6623840332031,862.0,448.0,896.2008547008548,465.6623931623932,68.0,34.0,-9.16523113413457,862.0,462.0,930.0,462.0,848.0,446.0,92.0,48.0
0,3,3.0,2,893.8782958984375,566.347900390625,820.0,532.0,893.8782961460446,566.3478701825558,170.0,78.0,-4.098675328150908,820.0,553.0,988.0,538.0,820.0,538.0,168.0,76.0
3,4,0.0,2,893.0115966796875,538.23193359375,762.0,478.0,893.0115765102083,538.2319511681751,284.0,116.0,1.1862603421989368,762.0,552.0,1046.0,528.5,752.0,474.0,304.0,118.0
3,4,1.0,2,1377.3946533203125,929.8390502929688,1324.0,908.0,1377.3946360153257,929.83908045977,106.0,42.0,44.88872223466666,1351.0,884.0,1415.0,964.0,1342.0,878.0,86.0,90.0
2,4,2.0,2,898.5555419921875,465.76922607421875,864.0,448.0,898.5555555555555,465.76923076923083,68.0,34.0,-10.791187454720456,866.0,471.0,932.0,463.0,850.0,446.0,92.0,48.0
4,5,0.0,2,883.9410400390625,539.1406860351562,758.0,478.0,883.9410308350214,539.1406707179833,282.0,120.0,1.1567968134742206,758.0,553.0,1042.0,506.0,746.0,474.0,304.0,124.0
4,5,1.0,2,1374.2451171875,928.1720581054688,1322.0,910.0,1374.2451612903226,928.1720430107525,104.0,36.0,51.14799171129573,1350.0,882.0,1409.0,966.0,1340.0,876.0,76.0,96.0
3,5,2.0,2,901.7182006835938,465.43182373046875,868.0,448.0,901.7181818181817,465.4318181818182,66.0,34.0,-11.858999726324836,870.0,471.0,934.0,462.0,852.0,446.0,88.0,52.0
5,6,0.0,2,877.771728515625,536.404052734375,760.0,466.0,877.7717391304348,536.4040642722117,244.0,130.0,4.384995068720918,758.0,553.0,1004.0,537.0,746.0,470.0,298.0,128.0
5,6,1.0,2,1369.7523193359375,923.7943725585938,1320.0,908.0,1369.752336448598,923.7943925233644,104.0,32.0,56.95706738672211,1349.0,878.0,1401.0,966.0,1338.0,872.0,76.0,104.0
0,6,4.0,2,906.338623046875,472.4515075683594,872.0,444.0,906.3386243386244,472.4514991181657,74.0,60.0,27.05303143203052,872.0,481.0,936.0,468.66666666666674,852.0,446.0,92.0,56.0
6,7,0.0,2,881.7612915039062,537.6953735351562,758.0,464.0,881.7613097802672,537.6953899181386,250.0,140.0,4.231546995270493,756.0,554.0,1006.0,540.8,744.0,468.0,274.0,136.0
