frame,id,err,3d_x,3d_y,3d_z,cam1_x,cam1_y,cam2_x,cam2_y,cam1_proj_x,cam1_proj_y,cam2_proj_x,cam2_proj_y,cam1_tl_x,cam1_tl_y,cam1_c_x,cam1_c_y,cam1_w,cam1_h,cam1_theta,cam1_aa_tl_x,cam1_aa_tl_y,cam1_aa_w,cam1_aa_h,cam1_frame,cam2_tl_x,cam2_tl_y,cam2_c_x,cam2_c_y,cam2_w,cam2_h,cam2_theta,cam2_aa_tl_x,cam2_aa_tl_y,cam2_aa_w,cam2_aa_h,cam2_frame
115,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,913.6034545898438,494.7984924316406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,820.0,462.0,913.6034763715373,494.79847908745245,186.0,74.0,9.765822110082494,820.0,458.0,192.0,80.0,111
116,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,915.4210815429688,494.85552978515625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,816.0,462.0,915.421106557377,494.85553278688525,194.0,74.0,10.305894570593782,820.0,456.0,196.0,80.0,112
117,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,918.4093017578124,494.2862854003906,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,818.0,460.0,918.4092741935484,494.2862903225807,196.0,74.0,10.676157949896146,824.0,454.0,198.0,84.0,113
118,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,927.370361328125,494.9552001953125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,836.0,460.0,927.3703913783323,494.9551900170164,182.0,74.0,8.975771487915996,840.0,456.0,184.0,78.0,114
119,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,925.4339599609376,493.82958984375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,830.0,460.0,925.433981066268,493.829596412556,192.0,74.0,10.14370850376103,836.0,454.0,190.0,80.0,115
120,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,924.1472778320312,492.03759765625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,820.0,458.0,924.147282884713,492.03758252920267,206.0,76.0,10.870649077779861,826.0,454.0,204.0,78.0,116
121,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,950.8787841796876,497.3623046875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,860.0,462.0,950.878787878788,497.3623188405797,168.0,74.0,8.075782298945759,864.0,462.0,168.0,72.0,117
122,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,957.984619140625,498.0713806152344,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,878.0,462.0,957.9846046186143,498.0713785864241,154.0,74.0,7.157386055226882,882.0,460.0,152.0,74.0,118
123,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,968.5413818359376,500.0070190429688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,892.0,462.0,968.5413744740532,500.0070126227209,148.0,70.0,4.5752391192035775,888.0,460.0,150.0,74.0,119
124,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,973.5023803710938,500.3511962890625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,898.0,464.0,973.502372881356,500.351186440678,146.0,68.0,4.9241567121783,892.0,460.0,150.0,76.0,120
125,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,976.9419555664062,499.5877380371094,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,902.0,464.0,976.9419613075383,499.5877251501001,142.0,68.0,4.029472935553099,898.0,462.0,144.0,74.0,121
126,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,981.3186645507812,500.1023254394531,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,908.0,464.0,981.3186528497407,500.10233160621766,138.0,70.0,2.3867389235001184,902.0,462.0,142.0,74.0,122
127,0,0.1190054197356819,5.170908695969128,3.187409003879308,2.15713750377589,928.0,300.0,986.1342163085938,499.12677001953125,919.0884372705748,301.02249764380645,994.1451196709057,500.4686739354364,920.0,278.0,979.8916478555304,286.65462753950334,122.0,20.0,-12.411501032435046,918.0,270.0,160.0,56.0,127,912.0,464.0,986.1342372881356,499.12677966101694,136.0,74.0,0.6779282649228554,908.0,462.0,140.0,76.0,123
