,frame,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h,var_x,var_y,covar,confidence
0,1,2,803.7093505859375,540.59375,770,510,803.709375,540.59375,76,56,40.70836952336837,798.0,516.0,828.0,578.0,766,516,62,62,225.5241686228482,210.38869327073553,50.13839984350547,0.9999816420000001
0,1,2,804.07373046875,504.5897521972656,774,476,804.0737179487179,504.5897435897436,66,64,65.84419736081084,776.0,526.0,838.0,523.0,776,464,62,64,219.10852162818458,232.01119479771162,7.243774951640117,0.999108016
0,1,2,898.9893188476562,464.4705810546875,874,446,898.9893048128342,464.47058823529414,52,36,-7.401091726547838,876.0,466.0,926.0,463.0,876,432,64,60,183.994523376009,81.2792934868315,-13.571360984071916,0.84613663
0,1,2,1364.774169921875,917.33642578125,1340,904,1364.774193548387,917.3364055299539,52,28,44.013279792123704,1348.0,904.0,1388.0,927.0,1326,868,62,64,112.62007168458788,107.63167776070965,72.38649940262842,0.649276674
0,2,2,800.2041015625,541.0203857421875,770,512,800.204081632653,541.0204081632653,64,58,63.225999195540034,799.0,516.0,812.0,568.0,760,516,62,64,179.93783680422752,209.4782880784343,19.995827973438047,0.9999847409999999
0,2,2,806.3670043945312,504.7713928222656,778,476,806.3670295489891,504.7713841368585,70,64,41.45776144738333,778.0,526.0,842.0,522.0,778,464,64,64,238.17037543058981,233.1859711341403,20.052886828195316,0.998841822
0,2,2,1361.6136474609375,912.4431762695312,1340,902,1361.6136363636363,912.4431818181819,48,24,50.4711670021785,1348.0,900.0,1386.0,925.0,1324,864,62,62,77.7470129870131,99.02532467532482,55.0293506493506,0.986389339
0,3,2,904.614501953125,464.4463806152344,882,446,904.6144927536232,464.4463768115942,48,36,-10.29960981214359,884.0,468.0,930.0,462.0,884,430,62,60,161.6910684192787,81.09086619480976,-15.147185709470836,0.24533550399999998
0,3,2,1359.3599853515625,908.3428344726562,1338,900,1359.36,908.3428571428572,46,18,57.2010604215573,1351.0,888.0,1369.0,924.0,1322,862,64,62,58.990344827586114,105.76683087027936,51.55402298850561,0.9860945940000001
0,3,2,807.901123046875,503.40032958984375,780,476,807.9011532125206,503.4003294892916,68,62,39.49194884791672,780.0,525.0,842.0,521.0,780,464,62,62,220.96711087912752,215.1513530265716,14.937326352075042,0.9987277390000001
0,3,2,795.9063720703125,543.03369140625,772,518,795.9063670411985,543.0337078651686,52,50,-78.57984685591438,800.0,518.0,806.0,568.0,754,518,62,64,160.56907758360222,197.6686552690938,-7.812972995762775,0.9999910590000001
0,4,2,791.8557739257812,545.5559692382812,768,522,791.8557874762809,545.5559772296015,56,52,-59.94673895630463,798.0,520.0,802.0,570.0,750,520,62,62,170.16927727794152,188.81387580176158,-16.21624663602719,0.9999938009999999
0,4,2,809.4741821289062,503.60968017578125,780,476,809.4741935483871,503.60967741935485,70,62,32.72722808071107,782.0,524.0,844.0,520.0,782,464,62,62,231.35474490593532,212.2480483610402,20.918828495492207,0.999252975
0,4,2,1357.111083984375,904.1555786132812,1336,896,1357.111111111111,904.1555555555556,44,20,62.09116205844509,1351.0,884.0,1364.0,920.0,1320,858,64,62,51.04903786468021,107.99801365611378,41.92675356921162,0.99835217
0,4,2,907.544921875,464.16766357421875,886,446,907.5449101796407,464.16766467065867,46,34,-10.280582495135139,888.0,468.0,932.0,463.0,888,430,62,62,153.6180971390552,81.46129362895834,-13.533077988167799,0.102216363
0,5,2,911.29052734375,463.5337829589844,892,446,911.2905405405405,463.5337837837838,42,34,-9.530389833081703,894.0,466.0,934.0,462.0,894,432,62,60,129.24411360513068,78.0327530920751,-8.847136967475963,0.655958533
0,5,2,811.599365234375,503.78826904296875,782,476,811.5993485342019,503.7882736156352,70,62,35.68663686579496,784.0,516.0,846.0,520.0,782,464,64,62,229.22257706266495,212.1378068026635,25.344070651625216,0.9987185
0,5,2,1356.423583984375,901.62353515625,1336,894,1356.4235294117648,901.6235294117647,44,18,60.90541635630835,1350.0,882.0,1365.0,918.0,1320,856,64,62,49.05033066481034,103.95210581273919,44.255064392621044,0.999295473
0,5,2,788.098388671875,547.307373046875,760,526,788.0983606557377,547.3073770491803,60,52,-42.8151166153484,758.0,553.0,808.0,546.0,744,522,64,62,171.91638334399315,167.46179351667953,-29.14733901100754,0.9999948740000001
0,6,2,788.484619140625,547.2999877929688,758,524,788.4846153846154,547.3,62,54,-32.81883553698115,758.0,553.0,810.0,546.0,748,522,62,64,196.57394397510012,165.52061657032752,-34.288246628131034,0.9999821190000001
0,6,2,1355.3594970703125,898.6853637695312,1334,890,1355.3595505617977,898.685393258427,46,18,61.26567300957392,1349.0,878.0,1365.0,916.0,1320,854,62,62,51.85869358217473,115.21119786707322,49.66177870881735,0.9992659690000001
0,6,2,812.821044921875,503.9244689941406,784,476,812.8210180623973,503.92446633825944,68,62,35.13663908042453,784.0,526.0,846.0,520.0,782,464,64,62,224.08797856710765,207.30349580848684,23.40422176129984,0.9971006509999999
0,6,2,914.261962890625,466.3131103515625,886,446,914.261980830671,466.3130990415335,46,42,-77.83962947954672,907.0,448.0,915.0,492.0,898,430,62,62,109.32858196116975,138.6837060702876,-6.633570901941501,0.995023131
